102084,Entity,Code,Year,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),Continent
108399,Western Europe,Western Europe,2004,17174315.890900,
108400,Western Europe,Western Europe,2005,17264236.892600,
108401,Western Europe,Western Europe,2006,17394422.157200,
108402,Western Europe,Western Europe,2007,17570236.602100,
108403,Western Europe,Western Europe,2008,17758808.857200,
108404,Western Europe,Western Europe,2009,17926499.371200,
108405,Western Europe,Western Europe,2010,18047793.007200,
108406,Western Europe,Western Europe,2011,18126112.736300,
108407,Western Europe,Western Europe,2012,18200963.464700,
108408,Western Europe,Western Europe,2013,18267370.923200,
108409,Western Europe,Western Europe,2014,18329661.023000,
108410,Western Europe,Western Europe,2015,18389106.861600,
108411,Western Europe,Western Europe,2016,18455775.304900,
108412,Western Europe,Western Europe,2017,18486565.644500,
108413,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1990,5012805.24022,
108414,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1991,5142495.9231,
108415,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1992,5282318.31577,
108416,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1993,5429407.99108,
108417,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1994,5589827.2383,
108418,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1995,5760484.52304,
108419,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1996,5956639.62952,
108420,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1997,6183847.77041,
108421,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1998,6427560.75464,
108422,Western Sub-Saharan Africa,Western Sub-Saharan Africa,1999,6673854.3013,
108423,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2000,6902175.29077,
108424,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2001,7118724.62839,
108425,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2002,7333479.1691,
108426,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2003,7550725.88615,
108427,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2004,7775717.08568,
108428,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2005,8014786.18652,
108429,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2006,8276869.85902,
108430,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2007,8563536.30525,
108431,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2008,8860069.66434,
108432,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2009,9162626.2939,
108433,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2010,9463259.67253,
108434,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2011,9748218.03983,
108435,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2012,10022277.156000,
108436,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2013,10288584.285100,
108437,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2014,10548172.974900,
108438,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2015,10798754.167700,
108439,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2016,11043478.371300,
108440,Western Sub-Saharan Africa,Western Sub-Saharan Africa,2017,11279905.176600,
108441,World,OWID_WRL,1990,169705544.761000,
108442,World,OWID_WRL,1991,173058570.620000,
108443,World,OWID_WRL,1992,176396728.805000,
108444,World,OWID_WRL,1993,179645981.956000,
108445,World,OWID_WRL,1994,182863822.671000,
108446,World,OWID_WRL,1995,186040258.006000,
108447,World,OWID_WRL,1996,189263118.005000,
108448,World,OWID_WRL,1997,192588288.740000,
108449,World,OWID_WRL,1998,195966809.029000,
108450,World,OWID_WRL,1999,199448978.470000,
108451,World,OWID_WRL,2000,203000401.000000,
108452,World,OWID_WRL,2001,206696887.894000,
108453,World,OWID_WRL,2002,210523437.941000,
108454,World,OWID_WRL,2003,214411150.750000,
108455,World,OWID_WRL,2004,218331898.579000,
108456,World,OWID_WRL,2005,222225346.699000,
108457,World,OWID_WRL,2006,225596848.087000,
108458,World,OWID_WRL,2007,228273537.370000,
108459,World,OWID_WRL,2008,230679044.661000,
108460,World,OWID_WRL,2009,233312708.549000,
108461,World,OWID_WRL,2010,236626188.524000,
108462,World,OWID_WRL,2011,240538309.605000,
108463,World,OWID_WRL,2012,244476657.106000,
108464,World,OWID_WRL,2013,248441291.684000,
108465,World,OWID_WRL,2014,252422308.602000,
108466,World,OWID_WRL,2015,256373917.960000,
108467,World,OWID_WRL,2016,260384897.813000,
108468,World,OWID_WRL,2017,264455592.743000,
